page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
Off The Main Page,We are NOT FAKE NEWS. The stories we report are just so crazy you WISH they weren't real.,24821,2531,http://www.offthemainpage.com,1462268053999457,,,
Addicting Info,"AddictingInfo.org- Political knowledge and news, shared by moderates, independents, and people on the left.  Our goal is to be a resource to discredit right-wing lies, myths, and talking points.",1402884,130628,www.AddictingInfo.org,146422995398181,2010,,
Rodney Lee Conover,"Rodney Lee Conover - Activist, producer, writer, entertainer
Follow on Twitter @rodneyconover
Webpage: www.IHavetheTruth.com
",26837,2347,,146801948862284,2012,,
The New American Magazine,"Published every day online, and twice each month in print -- so that Freedom Shall Not Perish!",44578,1552,http://www.TheNewAmerican.com,146909368666979,1985,,
Rebel Pundit,"The blog is a beacon of truth, showing the unholy alliance of the mainstream media, Republican establishment, Democrat Party, big unions, and ""non-profits""",5371,89,http://rebelpundit.com,147765065268571,,,
Young Conservatives,www.YoungCons.com,983754,49186,http://www.youngcons.com/,147772245840,2009,6,
ConservativeByte,http://conservativebyte.com We are a conservative news site bringing you the top stories each day that matter to you and our country.,145525,2823,http://conservativebyte.com,148345978571352,,,
Real Progressives,Advocating Real Progressive Policies and Economics for America. We are 100% in support of the political revolution and the activism it requires.,116974,15177,http://www.realprogressivesusa.com,1485438831785542,,,
Democratize US,"Because we can all agree on Democracy. Democratize US is part of Democratize Media, a mobile-based media platform.",38672,143714,DemocratizeUS.com,1486860644672164,,,
President Donald Trump Fan Club,"Providing high quality Trump news and updates for President Donald Trump Fans!  For Donald Trump Fans by Donald Trump Fans.

Together we can help Make America Great and Safe Again!",1333012,121894,https://ilovemyfreedom.org,1487587521541634,2015,6,16
FutureinAmerica,"We believe that the future in America is bright, and are looking to connect with like-minded citizens who will join us in making that belief reality.",783988,19973,http://www.ourfutureinamerica.com,1488558181449522,2015,12,14
Girls Just Wanna Have Guns,http://girlsjustwannahaveguns.com Girls Just Wanna Have Guns goal is to motivate women all over the world to prepare themselves for any threat they may encounter.,278801,7952,http://www.girlsjustwannahaveguns.com/,149817218374125,2010,9,
Counter-Information,Uncovering the mainstream media lies,64,4,,149873221834973,2013,1,28
Powdered Wig Society,"Conservative news and commentary, dedicated to the restoration of, and strict obedience to, the United States Constitution",280630,49544,http://powderedwigsociety.com,1507792376127891,,,
Consortiumnews.com,"Follow us on Twitter:
@Consortiumnews
https://twitter.com/Consortiumnews
",10154,263,https://consortiumnews.com/,150931404928776,,,
Steven Crowder,Comedian. American.,2339415,166290,http://LouderWithCrowder.com,15139936162,1987,7,7
FreakOutNation,"If we don't speak out, we're a part of the problem

",426303,64287,http://www.freakoutnation.com,152308008195941,,,
Political Dig,Political Dig is the premier source for investigative reporting and political coverage on every aspect of the business of Washington and the campaign trail.,646801,73102,http://politicaldig.com,1527239134221579,,,
DailyInfo,DailyInfo.co is your top source to get informed and stay up to date with what happens in USA and worldwide. We cover the latest politics and general interest news!,65562,8043,http://dailyinfo.co,153519965088704,2005,6,4
PJ Media,"Politics. Parenting. Lifestyle. Visit www.PJMedia.com to join the conversation. Copyright © 2009 - 2017 PJ Media.""",346957,5377,http://www.PJMedia.com,15418366158,2005,11,15
Conservative Spirit,Best Place For Conservative News,16209,517,http://hourlytribune.com,1542401046056064,,,
Rinf.com,"RINF.COM and RINF.TV are alternative news websites, exposing the crimes and corruption of the global elite.",11178,40,http://www.rinf.com http://www.rinf.tv,154434341237962,,,
Conservative 101,,2122952,317661,,1544939742476831,,,
The American Cause,"We have some excellent new videos added to the website you'll find fascinating ... among them, ""Pat on Homeland Security & Immigration Reform""",114,1,http://www.theamericancause.org,154494061242776,,,
Fighting For Trump,People Who Support the film that will help Donald Trump get elected President,191678,1813,http://FightingForTrump.com,1546672678963050,,,
Right Wing Watch,Right Wing Watch (a project of People For the American Way) monitors and exposes the activities and rhetoric of right-wing activists and organizations.,143619,6124,www.rightwingwatch.org,154672041747,,,
