page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
455410617809655,47105.0,38442.0,left,Democratic Underground,84090,shrunken_left
456512747696523,2717.0,,left,"Economy In Crisis, INC.",24080,shrunken_left
460197020720819,137642.0,34792.0,right,The Right Scoop,98576,shrunken_right
463855417049923,590464.0,202149.0,right,Dc Gazette,430482,shrunken_right
46587884802,60467.0,10624.0,left,Demos,129403,shrunken_left
475549362567960,785046.0,867984.0,right,Conservative Review,1542369,grown_right
479687202044787,360792.0,609841.0,left,DeadState,187174,grown_left
492836854251934,1550.0,432.0,right,RedFlag NewsDesk,1533,shrunken_right
493304957381719,82.0,119.0,right,THE NEWS COMMENTER,2180,grown_right
49867377595,1091402.0,2248137.0,right,The Blacksphere,567166,grown_right
501786380024121,43716.0,,right,Freedom Pulse,15188,shrunken_right
50513265848,60843.0,9819.0,right,Citizens United,434335,shrunken_right
513600888679373,956592.0,3012197.0,right,Dennis Michael Lynch,1025816,grown_right
513813158657249,3517386.0,6931152.0,right,Mad World News,1640470,grown_right
51560645913,51272.0,211699.0,right,The Patriot Post,519762,grown_right
519305544814653,2512689.0,2676823.0,right,Conservative Tribune,4077149,grown_right
532734866892797,3247806.0,222616.0,right,We Support Donald Trump,1062633,shrunken_right
533719316792782,19188.0,696107.0,right,I Hate Hillary,387025,grown_right
542681229094582,2633.0,2700.0,right,Red Nation Rising,9798,grown_right
54789869630,1750.0,2360.0,left,Dissent Magazine,37825,grown_left
55076937573,0.0,,right,Right Pundits,344,flat_right
551987771496911,120947.0,131493.0,left,Forward Progressives,352730,grown_left
552538524928728,14739.0,323458.0,left,Bernie Sanders Lovers,101709,grown_left
553923781318329,366.0,37.0,left,Young Progressive Voices,18379,shrunken_left
55803739618,4732.0,2382.0,left,Informed Comment,11833,shrunken_left
563531023712949,8591.0,3554.0,right,Truth Revolt,37945,shrunken_right
563896500417731,18463.0,179172.0,right,Citizens For Trump,271061,grown_right
568982666502934,2226796.0,1125017.0,right,America's Freedom Fighters,588022,shrunken_right
572064949480977,801996.0,732143.0,right,The Common Sense Conservative,484089,shrunken_right
574747565911344,1360323.0,829225.0,right,Truth And Action,878386,shrunken_right
58158120046,1900579.0,779320.0,right,American Center for Law and Justice,4088359,shrunken_right
591402597574018,2139641.0,1459928.0,right,Tell Me Now,2478665,shrunken_right
60190486539,2203.0,1276.0,left,AMERICAblog.com,10682,shrunken_left
625416194262163,49713.0,1394076.0,right,Patriotic Folks,853119,grown_right
626080910791883,47.0,51.0,right,Fix This Nation,10261,grown_right
6333396177,931395.0,880599.0,right,NewsBusters.org,2785792,shrunken_right
639552979481215,181901.0,533813.0,right,TRUMP TRAIN,467274,grown_right
644891892279936,1467435.0,413607.0,right,End The Fed,365486,shrunken_right
645859405473969,628.0,3792.0,right,Barbwire.com,16917,grown_right
